Comments,Sentiment
sedang bunuh diri,negatif
pernah beli hp oppo a95 dan akhirnya nyesel sampe skarang knapa harus beli hp itu,negatif
ga bisa enjoy.kebanyakan suara piiippp,negatif
"gara² video ini, oppo di hujat dari segala penjuru, di semua soamed oppo kena rujak netizen, tinggal tunggu aja angka penjualan oppo ke depannya gmna",negatif
logo apple ilang,negatif
"kualat kau ajg, klau sekarat susah matinya, brp orang tua gaptek  kau tipu hah",negatif
"<a href="" kenapa engga pake dimensity 9300 agak ketinggalan 1 tahun engga masalah ?",negatif
nyubang dislike 1,negatif
"<a href="" sensor bocor momentt",negatif
"awal awal bilang fokus kekuatan, pas disenggol chipset nya kalah alesannya fokus nya kekuatan dan efisiensi, aneh anehhh",negatif
yang udah beli reno 12 pro siapa saja nih,negatif
login,negatif
chipset kami lo kata lu bikin sendiri mediatek exynos bikin sendir ini si oppo shit komen,negatif
lu ngeselin bang,negatif
malah denial pea,negatif
ngmongnya udh kaya gado2 campur2,negatif
&quot;clear winner&quot;  did you maksud from the lower?,negatif
blunder... blunder...,negatif
"this is just stupid, this is pr stunt. scripted and unnatural. it&#39;s only gonna make the brand&#39;s name worse.   fire ur creative director and marketing oppo.",negatif
